grant_name,funding_organization,grant_type,target_audience,funding_amount_min,funding_amount_max,description,eligibility_criteria,application_url,geographic_restrictions,renewable,status
The Hartford Adaptive Sports Equipment Grant,Move United,equipment,organization,20000,50000,"Grants to build adaptive equipment inventory and welcome new participants to adaptive sports programs","Eligible organizations must be Move United members and demonstrate need for equipment",https://moveunitedsport.org/equipment-grant-opportunity/,United States,TRUE,open
Challenged Athletes Foundation (CAF) Grants,Challenged Athletes Foundation,equipment,individual,0,25000,"Grants for adaptive sports equipment, training, and competition costs for athletes with physical disabilities","Individuals with permanent physical disabilities pursuing athletic endeavors",https://www.challengedathletes.org/grants/,United States,TRUE,open
VA Adaptive Sports Grant Program,U.S. Department of Veterans Affairs,program,organization,0,0,"Grants to qualifying organizations to plan, develop, manage, and implement adaptive sports programs for disabled Veterans","Organizations providing adaptive sports opportunities for disabled Veterans",https://department.va.gov/veteran-sports/grant-program/,United States,TRUE,open
High Fives Foundation Adaptive Sports Grant,High Fives Foundation,equipment,individual,0,0,"Grants for adaptive sports equipment including sports wheelchairs, handcycles, mono skis, and prosthetics","Athletes with permanent disabilities pursuing action sports",https://highfivesfoundation.org/grant-application/,United States,TRUE,open
Move United Athlete Training Grant,Move United,training,individual,500,500,"One-time training grant for athletes competing in Paralympic sports","Athletes training in Summer or Winter Paralympic sports",https://moveunitedsport.org/move-united-athlete-training-grant/,United States,FALSE,open
Scout Bassett Grant,Women's Sports Foundation,training,individual,8000,8000,"Grants for female athletes with physical disabilities to support training and competition","Female athletes with physical disabilities pursuing competitive sports",https://www.womenssportsfoundation.org/wsf_programs/scout-bassett-grant/,United States,TRUE,open
USOPC Athlete Medical Grant,U.S. Olympic & Paralympic Committee,general,individual,100,25000,"Grants to cover significant medical costs for elite Olympic and Paralympic athletes","Elite Olympic and Paralympic athletes with medical needs",https://www.usopc.org/grantsandfunding,United States,FALSE,open
Dare2Tri Ability Fund,Dare2Tri,equipment,individual,0,0,"Financial and equipment grants for athletes with physical disabilities or visual impairments","Athletes with physical disability or visual impairment interested in triathlon",https://www.achillesinternational.org/resources,United States,FALSE,open
Team PossAbilities Grants,Team PossAbilities,general,individual,0,0,"Grants and scholarships supporting educational and athletic endeavors for individuals with disabilities","Individuals with disabilities pursuing educational or athletic goals",https://igniteadaptivesports.org/funding-for-athletes/,United States,FALSE,open
IPC Development Grant,International Paralympic Committee,training,individual,0,0,"Support grants enabling Para athletes to compete at World Championships and major competitions","Para athletes competing at international level",https://www.paralympic.org/grants,International,FALSE,open
Speedway Children's Charities Grant,Speedway Children's Charities,equipment,individual,0,0,"Grants for children with disabilities to obtain adaptive sports equipment","Children with disabilities requiring adaptive equipment",https://www.nwba.org/funding,United States,FALSE,open
